title	issn	issn2	is_ajol	is_scopus	is_wos	is_ulrich
african journal on land policy and geospatial sciences	2657-2664	NULL	0	0	0	1
in translation	2353-0073	2602-6902	0	0	0	1
journal of architecture art and humanistic science	2357-0342	2356-9654	0	0	0	1
magallat alulum alqanuniyyat waaliqtisadiyyat	1110-7898	2636-2929	0	0	0	1
card international journal of environmental studies and safety research	2536-7277	2536-7285	0	0	0	1
card international journal of medical science and applied bioscience	2536-734X	2536-7331	0	0	0	1
card international journal of social sciences and conflict managment	2536-7234	2536-7242	0	0	0	1
the african journal of current medical research	2579-0242	NULL	1	0	0	1
journal of research innovation and implications in education	2520-7504	NULL	0	0	0	1
south african dance journal	2223-8425	NULL	0	0	0	1
communication science technologie	1112-5187	NULL	0	0	0	1
african perspectives of research in teaching and learning	2521-0262	NULL	0	0	0	1
journal of creativity innovation and social entrepreneurship	2521-0270	NULL	0	0	0	1
journal of construction business and management	2521-0165	NULL	0	0	0	1
zoe international journal of social transformation	2520-9345	NULL	0	0	0	1
journal of african interdisciplinary studies	2523-6725	NULL	0	0	0	1
mara research journal of medicine health sciences	2523-5680	NULL	0	0	0	1
african journal of criminal law and jurisprudence	2550-746X	NULL	0	0	0	1
idosr journal of applied sciences	2550-7931	NULL	0	0	0	1
idosr journal of arts and management	2550-7974	NULL	0	0	0	1
idosr journal of communication and english	2550-7958	NULL	0	0	0	1
idosr journal of humanities and social sciences	2550-7966	NULL	0	0	0	1
idosr journal of scientific research	2550-794X	NULL	0	0	0	1
ilorin journal of computer science and information technology	2550-7214	NULL	0	0	0	1
international journal for psychotherapy in africa	2550-7257	2550-7249	0	0	0	1
journal of epizootiology and animal health in west africa	2550-7990	NULL	0	0	0	1
lafia journal of economics and management sciences	2550-732X	NULL	0	0	0	1
plasu journal of communication studies	2550-7389	NULL	0	0	0	1
recueil de mecanique	2507-7589	2507-7619	0	0	0	1
durban natural science museum novitates	NULL	2522-2554	0	0	0	1
international journal of the university of kibungo association	2522-3275	NULL	0	0	0	1
zambia ict journal	2616-2156	NULL	0	0	0	1
journal of agriculture and environmental sciences	2616-3713	2616-3721	0	0	0	1
africa international journal of multidisciplinary research	2523-9422	2523-9430	0	0	0	1
international journal of business management and processes	2616-3209	NULL	0	0	0	1
egyptian spine journal	2314-8969	2314-8950	0	0	0	1
genetics and biodiversity journal	2602-5582	2588-185X	0	0	0	1
revista orbita pedagogica	2409-0131	NULL	0	0	0	1
shedet	2356-8704	2536-9954	0	0	0	1
african journal of commercial law	2706-7661	NULL	0	0	0	1
southern african institute of mining and metallurgy journal	NULL	2411-9717	0	0	1	1
the annals of african surgery	1999-9674	2523-0816	1	1	0	1
southern african journal of gynaecological oncology	2074-2835	2220-105X	0	0	1	0
stroke research and treatment	2042-0056	2090-8105	0	1	0	0
the catholic voyage: african journal of consecrated life	NULL	NULL	1	0	0	0
nigerian infection control association journal	1119-1716	NULL	0	0	0	1
the east african medical journal	0012-835X	NULL	1	1	0	1
mary slessor journal of medicine	1119-409X	NULL	0	0	0	1
nigerian journal of health and biomedical sciences	1595-8272	NULL	0	0	0	1
institute of african studies research review	0855-4412	NULL	0	0	0	1
southern african journal of infectious diseases	2312-0053	2313-1810	0	0	1	1
editorial description publishes wideranging articles not confined to south african history	NULL	NULL	0	0	0	1
the ethiopian journal of health development	NULL	1021-6790	1	1	1	1
the ethiopian journal of science and sustainable development	1998-0531	2663-3205	1	0	0	1
the research journal of health sciences	2467-8252	NULL	1	0	0	1
the south african journal of clinical nutrition	1607-0658	2221-1268	1	0	1	1
the southern african journal of critical care	1562-8264	2078-676X	1	1	1	1
zambezia	1726-9091	0379-0622	0	0	0	1
the egyptian rheumatologist	1110-1164	2090-2433	0	1	1	1
african journal for physical health education recreation and dance	1117-4315	NULL	0	0	0	1
stellenbosch theological journal	2413-9467	2413-9459	0	0	1	1
cameroon academy of sciences journal	NULL	NULL	0	0	0	1
journal of applied science in southern africa	NULL	1019-7788	0	0	0	1
the zoologist	1596-972X	NULL	1	0	0	1
journal of mining and geology	NULL	1116-2775	0	0	0	1
strategic review for southern africa	1013-1108	NULL	0	0	1	1
centre for business law transactions	NULL	NULL	0	0	0	1
africanus	NULL	NULL	0	0	0	1
the ethiopian journal of reproductive health	2520-0275	2520-0283	0	1	0	1
editorial description original articles reviews and case reports relevant to medical and paramedical personnel	NULL	NULL	0	0	0	1
editorial description original articles reviews and case reports relevant to medical and paramedical personnel	NULL	NULL	0	0	0	1
transafrican journal of history	0251-0391	NULL	0	0	0	1
management in nigeria	0025-178X	NULL	0	0	0	1
aloe	0002-6301	NULL	0	0	0	1
suidafrikaanse tydskrif vir kunsgeskiedenis	0258-3542	NULL	0	0	1	1
editorial description publishes wideranging articles not confined to south african history	ANNUREVIOFPH	NULL	0	0	0	1
the nigerian postgraduate medical journal	2468-6875	1117-1936	0	1	0	1
the egyptian journal of surgery	1110-1121	1687-7624	0	0	1	1
tropical freshwater biology	0795-0101	NULL	1	0	0	1
alexandria journal of agricultural research	0044-7250	NULL	0	0	0	1
african journal of medicine medical sciences new series	1116-4077	NULL	0	0	0	1
the nigerian field	0029-0076	NULL	0	0	0	1
zambia law journal	1027-7862	NULL	0	0	0	1
west african journal of educational and vocational measurement	0331-0515	NULL	0	0	0	1
zimbabwe wildlife	NULL	NULL	0	0	0	1
the southern african journal of entrepreneurship and small business management	2522-7343	2071-3185	0	1	0	1
transactions of the south african institute of electrical engineers	NULL	0038-2221	0	1	0	0
the journal for transdisciplinary research in southern africa	1817-4434	2415-2005	0	0	1	1
the journal of consumer sciences	NULL	NULL	0	0	0	1
journal of law society and development	2313-8289	2520-9515	0	0	0	1
journal of water and environmental sciences	2509-0445	NULL	0	0	0	1
numid horizon	2026-5883	2026-5263	0	0	0	1
international journal of pharmacology and clinical research	2521-2206	NULL	0	0	0	1
africa journal of food and integrated agriculture	2579-0307	NULL	0	0	0	1
international journal of innovative food science and technology	2579-0293	NULL	0	0	0	1
iug journal of humanities and social science	2579-0390	NULL	0	0	0	1
tropical journal of health sciences	1117-4153	NULL	1	0	0	0
journal of comparative law in africa	2311-6889	2521-2605	0	0	0	1
accounting perspectives in southern africa	2521-2710	NULL	0	0	0	1
journal of business sciences	2521-5302	NULL	0	0	0	1
the journal of anticorruption law	2521-5345	NULL	0	0	0	1
african journal of pedagogy and curriculum	2309-4648	NULL	0	0	0	1
africa journal of comparative constitutional law	2521-5434	2519-5603	0	0	0	1
journal of ocean law and governance in africa	2521-5442	2414-8253	0	0	0	1
makerere business journal	2219-9284	2521-5590	0	0	0	1
international journal of humanities and cultural studies	2356-5926	NULL	0	0	0	1
journal of experimental research	2315-9650	NULL	0	0	0	1
journal of water science environment technologies	2508-9250	NULL	0	0	0	1
kibogora polytechnic scientific journal	2616-7492	2616-7506	0	0	0	1
international journal of current aspects	2616-6976	NULL	0	0	0	1
idosr journal of biology chemistry and pharmacy	2579-0730	NULL	0	0	0	1
idosr journal of science and technology	2579-079X	NULL	0	0	0	1
idosr journal of current issues in social sciences	2579-0765	NULL	0	0	0	1
idosr journal of biochemistry biotechnology and allied fields	2579-0811	NULL	0	0	0	1
idosr journal of current issues in arts and humanities	2579-0757	NULL	0	0	0	1
idosr journal of experimental science	2579-0781	NULL	0	0	0	1
african journal of intellectual property	2520-3304	NULL	0	0	0	1
journal of advocacy research and education	2508-1055	NULL	0	0	0	1
nairobi journal of humanities and social sciences	2520-4009	2523-0948	0	0	0	1
card international journal of agricultural research and food production	2536-7293	2536-7307	0	0	0	1
card international journal of engineering and emerging scientific discovery	2536-7250	2536-7269	0	0	0	1
the journal of independent teaching and learning	1818-9687	2519-5670	0	0	1	1
transformation in higher education	2415-0991	2519-5638	0	1	0	1
tropical journal of nephrology	NULL	NULL	1	0	0	0
tropical journal of natural product research	2616-0684	2616-0692	0	1	0	1
tropical journal of obstetrics and gynaecology	0189-5117	NULL	1	0	0	0
town and regional planning	1012-280X	2415-0495	0	0	1	1
tropical journal of pharmaceutical research	1596-5996	1596-9827	1	0	1	1
african plant protection	2309-3811	1023-3121	0	0	0	1
east african agricultural and forestry journal	2313-450X	NULL	0	0	0	1
international journal of agriculture and rural development	1595-9716	NULL	0	0	0	1
african journal of international affairs	NULL	0850-7902	0	0	0	1
innovation	NULL	NULL	0	0	0	1
tropical veterinarian	0794-4845	NULL	1	0	0	1
transformation	0258-7696	1726-1368	0	0	1	1
tunisian journal of plant protection	1737-5436	2490-4368	1	0	0	1
tydskrif vir die suid afrikaanse reg	0257-7747	1996-2207	0	0	1	1
tydskrif vir letterkunde	2309-9070	0041-476X	1	1	1	1
the egyptian journal of medical education	2090-2816	NULL	0	0	0	1
transnational broadcasting studies	1687-4269	NULL	0	0	0	1
general union of arab archaeologists journal	2537-0278	2537-026X	0	0	0	1
applied journal of environmental engineering science	2509-2065	NULL	0	0	0	1
process engineering journal	2588-171X	2588-1795	0	0	0	1
journal of veterinary medical research	2357-0512	2357-0520	0	0	0	1
research in applied mathematics	2357-0474	2357-0482	0	0	0	1
academic finance	1923-2993	NULL	0	0	0	1
african journal of career development	2617-7471	2709-7420	0	0	0	1
journal of local government research and innovation	2788-919X	2709-7412	0	0	0	1
revue malienne dinfectiologie et de microbiologie	1987-0876	NULL	0	0	0	1
sapientiae	2183-5063	2184-061X	0	0	0	1
annual review of chaos theory bifurcations and dynamical systems	2253-0371	NULL	0	0	0	1
biomath	1314-684X	1314-7218	0	0	0	1
egyptian journal of basic and clinical pharmacology	2090-7230	2090-7222	0	0	0	1
multilinguales	2335-1535	2335-1853	0	0	0	1
journal of economics and policy analysis	2536-6874	NULL	0	0	0	1
journal of renewable and alternative energy technologies	2536-6629	2536-6610	0	0	0	1
research journal of food science and nutrition	2536-7080	NULL	0	0	0	1
journal of insulin resistance	2519-7533	2412-2785	0	0	0	1
east african journal of health and biomedical sciences	2519-917X	NULL	0	0	0	1
international academic journal of information sciences and project management	2519-7711	NULL	0	0	0	1
international academic journal of law and society	2519-772X	NULL	0	0	0	1
tydskrift vir geesteswetenskappe	NULL	0041-4751	0	1	0	0
international journal of education management and administration	2519-9544	NULL	0	0	0	1
mara research journal of kiswahili	2520-0577	NULL	0	0	0	1
miyetti quarterly law review	2536-7803	2536-7811	0	0	0	1
sospoly journal of arts and social science	2536-717X	NULL	0	0	0	1
sospoly journal of engineering entrepreneurship and environmental studies	2536-7188	NULL	0	0	0	1
international academic journal of arts and humanities	2520-4688	NULL	0	0	0	1
uganda journal of agricultural sciences	2410-6909	1026-0919	1	0	0	0
studia historiae ecclesiasticae online	2412-4265	NULL	0	0	0	1
verbum et ecclesia	1609-9982	2074-7705	0	1	0	1
veterinary medicine international	2042-0048	2090-8113	0	1	0	0
south african journal of oncology	2518-8704	2523-0646	0	0	0	1
mara international journal of scientific research publications	2523-1456	NULL	0	0	0	1
mara international journal of social sciences research publications	2523-1464	NULL	0	0	0	1
international science and technology journal of namibia	2026-7673	NULL	0	0	0	1
journal of studies in humanities and social sciences	2026-7215	2026-8637	0	0	0	1
julace	2026-8297	2026-7541	0	0	0	1
ethiopian journal of business management and economics	2520-4971	NULL	0	0	0	1
ethiopian journal of public health and nutrition	2523-1170	NULL	0	0	0	1
ujah: unizik journal of arts and humanities	1595-1413	NULL	1	0	0	0
journal of popular education in africa	2523-2800	NULL	0	0	0	1
journal of neutral atmosphere	2523-1812	NULL	0	0	0	1
algerian journal of engineering architecture and urbanism	2588-1760	NULL	0	0	0	1
international journal of human settlements	2588-1779	NULL	0	0	0	1
akwapoly journal of communication and scientific research	2536-7633	NULL	0	0	0	1
h53n6	600	NULL	0	0	0	1
international journal of natural and applied sciences	0794-4713	NULL	0	0	0	1
archives of ibadan medicine	1467-6958	NULL	0	0	0	1
bioresearch	NULL	NULL	0	0	0	1
journal of tropical microbiology and biotechnology	1814-7593	1814-7607	0	0	0	1
cameroon journal of agricultural science	1813-3320	NULL	0	0	0	1
cameroon journal of experimental biology	1816-0573	NULL	0	0	0	1
democracy development	1465-0142	NULL	0	0	0	1
university of dar es salaam library journal	0856-1818	2953-2515	1	0	0	0
unizik journal of religion and human relations	2006-5442	NULL	1	0	0	0
vulture news	1606-7479	NULL	1	0	0	0
water sa	0378-4738	1816-7950	1	1	1	0
west africa journal of applied ecology	0855-4307	NULL	1	1	0	1
west african journal of industrial and academic research	2276-9129	1116-5405	1	0	0	0
international journal of emotional psychology and sport ethics	1119-7048	NULL	0	0	0	1
journal of applied science engineering and technology	1596-3233	NULL	0	0	0	1
journal of biomedical investigation	1597-0043	NULL	0	0	0	1
journal of civil engineering research and practice	1729-5769	NULL	0	0	0	1
journal of nuclear and radiation physics	1687-420X	2090-3243	0	0	0	1
west african journal of pharmacology and drug research	NULL	0303-691X	1	0	0	1
journal of medical investigation and practice	NULL	NULL	0	0	0	1
journal of medical laboratory science	1116-1043	NULL	0	0	0	1
western indian ocean journal of marine science	0856-860X	NULL	1	0	0	1
world journal of applied science & technology	NULL	NULL	1	0	0	0
journal of technology and education in nigeria	1118-5570	NULL	0	0	0	1
lagos historical review	1596-5031	NULL	0	0	0	1
lagos journal of library and information science	1596-9487	NULL	0	0	0	1
zaria historical journal	NULL	NULL	1	0	0	0
zimbabwe journal of educational research	1013-3445	NULL	1	0	0	1
zimbabwe veterinary journal	1016-1511	NULL	1	0	0	1
samsa journal of pure and applicable mathematics	1993-8594	NULL	0	0	0	1
wireless communications and mobile computing	1530-8669	1530-8677	0	1	0	0
abia state university medical students' association journal	0794-6961	NULL	1	0	0	0
egyptian academic journal of biological sciences h botany	2090-3812	2090-3820	0	0	0	1
jewish affairs	2224-7874	0021-6313	0	0	0	1
acta classica	NULL	0065-1141	0	1	1	0
acta germanicagerman studies in africa	0065-1273	0065-1273	0	0	1	0
abraka humanities review	2795-3726	0795-1639	1	0	0	0
abyssinia journal of science and technology	2616-471X	2616-4728	1	0	0	1
acta commercii	2413-1903	1684-1999	0	1	0	1
africa education review	1753-5921	1814-6627	0	0	1	1
african yearbook of rhetoric	2220-2188	2305-7785	0	0	0	1
advances in hematology	1687-9112	1687-9104	0	1	0	0
international journal of biotechnology	2221-6766	NULL	0	0	0	1
the african journal of information and communication	2077-7205	2077-7213	0	0	0	1
african journal of computing and ict	2006-1781	NULL	0	0	0	1
africa research journal	NULL	1991-1696	0	0	1	1
journal of counselling and development in higher education southern africa	2225-420X	NULL	0	0	0	1
world applied programming	2222-2510	NULL	0	0	0	1
advances in humancomputer interaction	1687-5907	1687-5893	0	1	0	0
constitutional court review	2073-6215	2521-5183	0	0	0	1
advances in meteorology	1687-9309	1687-9317	0	1	0	0
african journal of distance education	2070-8130	NULL	0	0	0	1
bulletin of social and behavioural sciences	2276-8432	NULL	0	0	0	1
academy journal of science and engineering	NULL	NULL	1	0	0	0
acta structilia	1023-0564	2415-0487	1	0	1	1
african disability rights yearbook	2311-8970	2413-7138	0	0	1	1
advances in public health	2356-6868	2314-7784	0	1	0	0
advances in tribology	1687-5923	1687-5915	0	1	0	0
journal of southern african adventism	2304-5280	NULL	0	0	0	1
african historical review	1753-2531	NULL	0	0	1	1
journal of development and leadership	2226-0102	NULL	0	0	0	1
acta theologica	1015-8758	2309-9089	1	0	0	1
international journal of chemical and petroleum sciences	2253-0932	NULL	0	0	0	1
revue des bio ressources	2170-1806	NULL	0	0	0	1
africa development	0850-3907	NULL	1	1	0	1
annales des sciences et technologie	2170-0672	NULL	0	0	0	1
cahiers de politique et de droit	1112-9808	NULL	0	0	0	1
al athar	1112-3672	NULL	0	0	0	1
revue el bahith	1112-3613	NULL	0	0	0	1
africa insight	1995-641X	NULL	1	0	0	1
african journal of pharmacy biology and medical science	2312-9549	NULL	0	0	0	1
the ethiopian journal of business and economics	2311-9772	2410-2393	0	0	0	1
msingi journal	2310-3493	NULL	0	0	0	1
sciafric journal of scientific issues research and essays	2311-6188	NULL	0	0	0	1
african research journal of education and social sciences	2312-0134	NULL	0	0	0	1
webpub journal of agricultural research	2311-9926	NULL	0	0	0	1
webpub journal of scientific research	2311-9764	NULL	0	0	0	1
journal of sustainable research in engineering	2310-9122	2409-1243	0	0	0	1
international research journal of scientific findings	2312-9603	NULL	0	0	0	1
the pharmaceutical journal of kenya	0378-228X	2411-6386	0	0	0	1
the african journal of technology	1998-9350	2313-5549	0	0	0	1
zimbabwe journal of science and technology	1810-0341	2409-0360	0	0	0	1
covenant journal of research in the built environment	2384-5724	2384-5716	0	0	0	1
ethiopian journal of social sciences and language studies	2412-5180	2408-9532	0	0	0	1
covenant journal of informatics and communication technology	2354-3566	2354-3507	0	0	0	1
covenant journal of language studies	2354-3582	2354-3523	0	0	0	1
covenant journal of physical and life sciences	2354-3574	2354-3485	0	0	0	1
covenant journal of politics and international affairs	2354-3558	2354-3493	0	0	0	1
learned journal of science agriculture and engineering	2360-8250	NULL	0	0	0	1
unilag journal of basic medical sciences	2354-4368	NULL	0	0	0	1
african journal of microfinance and enterprise development	2360-7726	NULL	0	0	0	1
archives of basic and applied medicine	2360-9680	2384-6232	0	0	0	1
journal of economic and financial sciences	1995-7076	2312-2803	0	0	0	1
africa sanguine	2731-2992	1560-8646	1	0	0	0
tropical journal of medical research	1119-0388	2505-0338	0	0	0	1
african anthropologist	1024-0969	NULL	1	0	0	0
international journal of agriculture and biosciences	2305-6622	2306-3599	0	0	0	1
africa journal of nursing and midwifery	1682-5055	2520-5293	0	1	1	1
african biodiversity conservation	2311-9284	2311-4207	0	1	0	1
african entomology	NULL	2224-8854	0	1	1	1
african finance journal	NULL	1605-9786	0	1	0	0
african association of physiological sciences journal	2315-9987	2449-108X	1	0	0	1
african journal of agricultural research	1991-637X	NULL	0	0	1	0
african human rights law journal	1609-073X	1996-2096	0	1	0	1
african invertebrates	NULL	1681-5556	0	1	1	0
african journal of agricultural and resource economics	1993-3738	NULL	0	1	1	1
african journal of disability	2226-7220	2223-9170	0	1	1	1
african crop science journal	1021-9730	NULL	1	0	0	1
african journal of emergency medicine	2211-419X	2211-4203	0	1	0	0
african health sciences	1680-6905	1729-0503	1	1	1	1
african journal of hospitality tourism and leisure	2223-814X	NULL	0	1	0	1
african human mobility review	2410-7972	NULL	1	0	0	1
african journal of laboratory medicine	2225-2010	2225-2002	0	1	1	1
african journal for physical activity and health sciences	2411-6939	NULL	1	0	0	1
african journal of accounting and social science studies	2591-6815	NULL	1	0	0	0
african journal of primary health care family medicine	2071-2928	2071-2936	0	1	1	1
african journal of aids research	1727-9445	1608-5906	1	0	1	1
african journal of anaesthesia and intensive care	0794-2184	NULL	1	0	0	0
african journal of thoracic and critical care medicine	2617-0205	2617-0191	0	1	0	1
african journal of wildlife research	2410-8200	2410-7220	0	1	1	1
african review of physics	NULL	2223-6589	0	1	0	0
ain shams engineering journal	2090-4479	2090-4495	0	1	1	1
alexandria engineering journal	2090-2670	1110-0168	0	1	1	1
alif	1110-8673	NULL	0	1	0	1
anemia	2090-1275	2090-1267	0	1	0	0
anesthesiology research and practice	1687-6970	1687-6962	0	1	0	0
annals of agricultural science	0570-1783	2090-8377	0	1	1	1
applied bionics and biomechanics	1754-2103	1176-2322	0	1	1	0
applied computational intelligence and soft computing	1687-9732	1687-9724	0	1	0	0
arabian journal of medicinal and aromatic plants	2458-5920	NULL	0	1	0	1
autoimmune diseases	2090-0422	2090-0430	0	1	0	0
bulletin de linstitut scientifique section sciences de la terre	NULL	1114-6834	0	1	0	0
bulletin of pharmaceutical sciences	1110-0052	NULL	0	1	0	1
canadian journal of gastroenterology and hepatology	2291-2789	2291-2797	0	1	0	0
canadian journal of infectious diseases and medical microbiology	1918-1493	1712-9532	0	1	0	0
canadian respiratory journal	1916-7245	1198-2241	0	1	0	0
cardiovascular journal of africa	1996-3467	1995-1892	0	1	1	1
case reports in psychiatry	2090-6838	2090-682X	0	1	0	0
african journal of applied research	2408-7920	NULL	1	0	0	0
critical care research and practice	2090-1313	2090-1305	0	1	0	0
curationis	0379-8577	2223-6279	0	1	0	1
depression research and treatment	2090-133X	2090-1321	0	1	0	0
dermatology research and practice	1687-6105	1687-6113	0	1	0	0
disease markers	1875-8630	0278-0240	0	1	0	0
education as change	1682-3206	1947-9417	0	1	1	0
egyptian heart journal	1110-2608	2090-911X	0	1	1	0
egyptian journal of aquatic biology and fisheries	1110-6131	2536-9814	0	1	0	1
african journal of aquatic science	1727-9364	1608-5914	1	0	1	1
egyptian journal of aquatic research	2090-3278	1687-4285	0	1	1	0
egyptian journal of archaeological and restoration studies	2090-4932	2090-4940	0	1	1	0
egyptian journal of biological pest control	1110-1768	2536-9342	0	1	1	1
egyptian journal of botany	0375-9237	2357-0350	0	1	1	0
egyptian journal of chemistry	NULL	0449-2285	0	1	1	0
african journal of biomedical research	1119-5096	NULL	1	0	0	0
egyptian journal of ear nose throat and allied sciences	2090-0740	2090-3405	0	1	0	1
african journal of biotechnology	1684-5315	NULL	1	0	1	0
african journal of chemical education	2227-5835	NULL	1	0	0	0
african journal of clinical and experimental microbiology	1595-689X	NULL	1	0	0	0
egyptian journal of petroleum	1110-0621	2090-2468	0	1	0	1
egyptian journal of radiology and nuclear medicine	2090-4762	0378-603X	0	1	0	0
african journal of business ethics	1817-7417	0976-3600	0	0	1	1
egyptian journal of remote sensing and space sciences	1110-9823	2090-2476	0	1	1	1
international journal of advanced engineering and global technology	2309-4893	NULL	0	0	0	1
african journal of science and research	2306-5877	NULL	0	0	0	1
african journal of business management	1993-8233	NULL	0	0	1	0
koers	2304-8557	0023-270X	0	0	0	1
african journal of drug and alcohol studies	1531-4065	NULL	1	1	0	0
journal of african real estate research	2304-8395	NULL	0	0	0	1
african journal of economic review	2453-5958	NULL	1	0	0	1
revue medicale des grandlacs	2304-0149	2304-0173	0	0	0	1
journal of fractional calculus and applications	2090-584X	2090-5858	0	0	0	1
international society for telemedicine and ehealth journal	2308-0310	NULL	0	0	0	1
yesterday and today	2309-9003	2223-0386	0	0	0	1
african journal of educational studies in mathematics and sciences	0855-501X	2508-1128	1	0	0	1
mediterranean journal of chemistry	2028-3997	NULL	0	0	0	1
african journal of empirical research	2709-2607	NULL	1	0	0	0
international journal of veterinary science	2304-3075	2305-4360	0	0	0	1
african journal of environmental science and technology	1996-0786	NULL	1	0	0	0
african journal of food agriculture nutrition and development	1684-5358	1684-5374	1	1	0	1
african evaluation journal	2310-4988	2306-5133	0	0	0	1
africas public service delivery and peformance review	2310-2195	2310-2152	0	0	0	1
etude de la population africaine	0850-5780	2308-7854	0	1	0	1
hbrc journal	1687-4048	2090-9934	0	0	0	1
journal of basic applied zoology	2090-9896	2090-990X	0	0	0	1
african journal of gastroenterology and hepatology	2735-5489	2735-5497	1	0	0	0
african journal of health professions education	2078-5127	NULL	1	0	1	1
journal of business and public dynamics for development	2305-9338	NULL	0	0	0	1
african journal of herpetology	2156-4574	2153-3660	0	0	1	0
journal of advanced veterinary research	2090-6269	2090-6277	0	0	0	1
african journal of health sciences	1022-9272	NULL	1	0	0	1
journal of agriculture forestry and the social sciences	1597-0906	NULL	0	0	0	1
african journal of infectious diseases	2006-0165	2505-0419	1	1	0	1
african journal of library archives and information science	0795-4778	NULL	1	1	1	1
african journal of livestock extension	1596-4019	NULL	1	0	0	0
african journal of management research	NULL	2458-7435	1	0	0	1
african journal of marine science	1814-232X	1814-2338	1	1	1	1
niles journal for geriatric and gerontology	2636-3224	2636-3232	0	0	0	1
ain shams journal of forensic medicine and clinical toxicology	1687-1030	2636-3356	0	0	0	1
international business logistics journal	2735-5950	2735-5969	0	0	0	1
tanta scientific nursing journal	2314-5595	2735-5519	0	0	0	1
records of pharmaceutical and biomedical sciences	2536-9857	2535-2091	0	0	0	1
assiut scientific nursing journal	2314-8845	2682-3799	0	0	0	1
port said scientific journal of nursing	2356-8658	2682-3241	0	0	0	1
scientific journal of flowers and ornamental plants	2356-7864	2536-9296	0	0	0	1
alfarama journal of basic applied sciences	2682-275X	NULL	0	0	0	1
interdisciplinary journal of education	2616-9088	2616-9096	0	0	0	1
advanced research in conservation science	2682-3454	2682-3462	0	0	0	1
tasambo journal of language literature and culture	2782-8182	NULL	0	0	0	1
medical journal of viral hepatitis	2314-8748	2314-8756	0	0	0	1
minia journal of medical research	2682-4558	NULL	0	0	0	1
svu international journal of engineering sciences and applications	2735-4571	2785-9967	0	0	0	1
egyptian journal of medical research	2682-440X	2682-4396	0	0	0	1
traduction et langues	1112-3974	2600-6235	0	0	0	1
new valley journal of agricultural science	2805-2439	2805-2420	0	0	0	1
al awamia	0572-2721	NULL	0	0	0	1
african and mediterranean agricultural journal al awamia	2658-9184	NULL	0	0	0	1
revue des sciences humaines constantine	2588-2007	NULL	0	0	0	1
the south african journal of environmental law and policy	1023-1765	2616-8499	0	0	0	1
east african journal of peace and human rights	1021-8858	NULL	0	0	0	1
nigerian journal of animal production	0331-2062	NULL	0	0	0	1
apa	NULL	NULL	0	0	0	1
africa online inasp london	NULL	NULL	0	0	0	1
genetics research international	2090-3162	2090-3154	0	1	0	0
notes du service geologique de tunisie	0496-456X	NULL	0	0	0	1
african journal of neurological sciences	1992-2647	1015-8618	1	0	0	0
african journal of oral health	1608-7232	0189-5710	1	0	0	0
african journal of paediatric nephrology	2488-9075	NULL	1	0	0	1
african journal of physiotherapy and rehabilitation sciences	2141-8322	NULL	1	0	0	1
african journal of political science	1027-0353	1726-3727	1	0	0	0
african journal of range forage science	1727-9380	1022-0119	1	0	1	1
african journal of reproductive health	1118-4841	NULL	1	1	1	1
african journal of rheumatology	2664-441X	2307-2482	1	0	0	0
african journal of social issues	2734-3324	2672-5142	1	0	0	0
african journal of social work	1563-3934	2409-5605	1	1	0	1
african journal of sustainable development	2971-5253	2315-6317	1	0	0	0
african journal of traditional complementary and alternative medicines	0189-6016	2505-0044	1	0	1	1
ghana science association journal	0855-3823	NULL	0	1	0	1
african journal of tropical entomology research	2791-0113	NULL	1	0	0	0
african journal of tropical hydrobiology and fisheries	NULL	0002-0036	1	0	0	1
african journal of urology	1110-5704	NULL	1	0	0	0
african journal on conflict resolution	1562-6997	2309-737X	1	0	1	1
african research review	1994-9057	2070-0083	1	0	0	0
african review of economics and finance	2410-4906	2042-1478	1	0	0	0
african safety promotion: a journal of injury and violence prevention	1728-774X	NULL	1	0	1	0
african sociological review	1027-4332	NULL	1	0	1	1
african zoology	1562-7020	2224-073X	1	0	1	0
afrika statistika	2316-090X	NULL	1	0	0	0
afrimedic journal	2141-162X	NULL	1	0	0	0
afrique science: revue internationale des sciences et technologie	1813-548X	NULL	1	0	0	0
afrrev ijah: an international journal of arts and humanities	2227-5452	NULL	1	0	0	0
afrrev laligens: an international journal of language, literature and gender studies	2227-5460	NULL	1	0	0	0
afrrev stech: an international journal of science and technology	2227-5444	NULL	1	0	0	0
agricultural and food science journal of ghana	0855-5591	2821-9023	1	0	0	0
agronomie africaine	1015-2288	2948-0086	1	0	0	0
agro-science	1119-7455	NULL	1	0	0	0
agrosearch	2467-8694	NULL	1	0	0	1
alexandria journal of medicine	2090-5076	2090-5068	1	0	1	0
algerian journal of biosciences	2716-9375	2773-2916	1	0	0	0
algerian journal of engineering and technology	2716-9227	2716-9278	1	0	0	0
alqalam journal of medical and applied sciences	2707-7179	NULL	1	0	0	0
anatomy journal of africa	2226-6054	2305-9478	1	0	0	0
african journal of microbiology research	1996-0808	NULL	0	0	1	0
anchor university journal of science and technology	2736-0067	2736-0059	1	0	0	0
animal research international	1597-3115	NULL	1	0	0	1
annales africaines de medecine	2309-5784	2313-3589	1	0	0	1
annales des sciences agronomiques	1659-5009	NULL	1	0	0	0
annals of biomedical sciences	1596-6569	NULL	1	0	0	1
annals of health research	2536-6149	2476-8642	1	0	0	1
annals of ibadan postgraduate medicine	1597-1627	NULL	1	0	0	0
annals of medical and health sciences research	2277-9205	NULL	1	0	0	1
annals of nigerian medicine	0331-3131	NULL	1	0	0	0
